county,lockdown,countyfips,pop,pct_under5,pct_5to9,pct_under9,num_famlies,avg_fam_size,num_single_dad,num_single_mom,num_single_parent,pct_single_parent,pct_hs_plus,pct_college_plus,pct_foreign,pct_white,pct_black,pct_latin,pct_asian,kids_in_poverty,active_cases,pct_active,median_fam_income,mean_fam_income,,,,,
"Adams County, Indiana",0,18001,35195,9.424634181,8.631907941,18.05654212,8692,3.39,454,1314,1768,20.34054303,39.7,10.6,1,97.1,1.2,4.5,0.4,25.6,6,0.017047876,63838,74910,,,0.026778333,0.02452595,0.051304282
"Allen County, Indiana",0,18003,370016,7.069424025,7.19239168,14.26181571,93312,3.16,6999,18705,25704,27.5462963,28.7,18.4,6.5,82.7,14,7.3,4.4,21.8,537,0.145128859,66713,85247,,,0.001910573,0.001943806,
"Bartholomew County, Indiana",0,18005,81893,6.653804354,7.353497857,14.00730221,20938,3.15,1578,3311,4889,23.34989015,32.6,19.3,10.4,87.2,3,6.6,7.4,19.9,249,0.304055292,72839,88127,,,0.008124998,0.008979397,
"Benton County, Indiana",0,18007,8667,6.380523826,7.165109034,13.54563286,2229,3.08,177,378,555,24.89905787,43.2,13.4,1.7,99,1.2,5.1,0.3,22.8,8,0.092304142,55031,65925,,,0.073618597,0.082671155,
"Blackford County, Indiana",0,18009,12129,5.218896859,6.645230439,11.8641273,3428,2.77,128,636,764,22.28704784,48.1,7.1,1.6,99.1,0.3,1.6,0.4,18.9,7,0.057712919,53734,68246,,,0.043028253,0.05478795,
"Boone County, Indiana",0,18011,64321,6.705430575,7.12675487,13.83218544,18124,3.03,899,2177,3076,16.97197087,21.3,29.1,3.8,95,2.2,2.9,3.2,6.2,166,0.258080565,97669,136337,,,0.010424948,0.011079981,
"Brown County, Indiana",0,18013,15034,3.778102967,5.347878143,9.125981109,4430,2.82,346,399,745,16.81715576,32.6,15,1.7,98,1.5,1.7,0.6,7.6,15,0.099773846,76016,89190,,,0.025130391,0.035571891,
"Carroll County, Indiana",0,18015,19994,5.22656797,6.601980594,11.82854856,5468,3.01,374,541,915,16.73372348,40.7,12.2,2.9,96.8,0.8,3.9,0.7,14.1,23,0.11503451,67188,82077,,,0.026140682,0.033019809,
"Cass County, Indiana",0,18017,38084,6.013023842,5.834471169,11.84749501,9606,3.12,805,1520,2325,24.20362274,38.3,9.5,9,85.9,2.1,14.9,2.1,22.1,1212,3.182438819,60017,71170,,,0.015788845,0.015320006,
"Clark County, Indiana",0,18019,115702,6.317090457,6.236711552,12.55380201,28584,3.23,2093,5189,7282,25.47579065,34.2,14.3,3.6,90.8,9.1,5.3,1.4,15,300,0.259286788,68683,83060,,,0.005459794,0.005390323,
