county,NC,countyfips,pop,pct_under5,pct_5to9,pct_under9,num_famlies,avg_fam_size,num_single_dad,num_single_mom,num_single_parent,pct_single_parent,pct_hs_plus,pct_domestic,pct_white,pct_black,pct_latin,pct_asian,kids_in_poverty,active_cases,pct_active
"Appling County, Georgia",0,13001,18454,6.5,8.1,14.6,4934,3.12,230,1085,1315,26.65180381,74.5,9.7,77.7,19.5,9.8,0.8,32.1,55,
"Atkinson County, Georgia",0,13003,8265,6.4,7.2,13.6,1881,3.69,122,408,530,28.17650186,69.1,9.9,72.5,18,24.6,0,51.1,7,
"Bacon County, Georgia",0,13005,11228,7.2,8.2,15.4,2865,3.11,177,611,788,27.504363,81.5,10.1,82.7,17.3,8.4,0.6,37.9,21,
"Baker County, Georgia",0,13007,3189,4.4,5.4,9.8,828,3.09,91,142,233,28.14009662,78.3,12.3,56.8,38.8,4.2,3,20,19,
"Baldwin County, Georgia",0,13009,45286,4.9,5.8,10.7,9295,3.29,534,2497,3031,32.60892953,84.4,20.9,55,42.9,2.2,1.9,34.5,187,
"Banks County, Georgia",0,13011,18510,5.2,6.7,11.9,4954,3.3,294,671,965,19.47920872,77.1,12.8,94.3,3.1,6.7,1.3,15.8,17,
"Barrow County, Georgia",0,13013,76887,7,7.7,14.7,19262,3.47,1635,3358,4993,25.92150348,83,17.6,81.6,12.7,10.4,4.1,17.4,109,
"Bartow County, Georgia",0,13015,103620,6.5,7,13.5,27206,3.2,2222,5093,7315,26.8874513,83,19.5,85.7,11.7,8.3,1.2,17.1,260,
"Ben Hill County, Georgia",0,13017,17154,6.3,5.4,11.7,4375,3.13,359,1377,1736,39.68,82.7,12,61.4,37.1,6.1,0.4,49.8,24,
"Berrien County, Georgia",0,13019,19025,6,6.8,12.8,4983,3.14,322,1122,1444,28.97852699,78.1,11.8,86.1,13.2,4.9,0.3,34.2,15,
"Bibb County, Georgia",0,13021,153490,6.9,7,13.9,34799,3.34,2811,11554,14365,41.27992184,85.7,25.7,42.6,55.6,3.2,2.3,38.7,249,
"Bleckley County, Georgia",0,13023,12775,5.5,5.9,11.4,2657,3.57,202,495,697,26.23259315,87.6,17.2,69.8,28.3,2.8,0.2,31.8,9,
"Brantley County, Georgia",0,13025,18561,6,7.8,13.8,4601,3.36,339,762,1101,23.92958053,80,8.2,94.8,4.5,2.1,1.2,31.5,19,
"Brooks County, Georgia",0,13027,15622,5.7,5.6,11.3,4014,3.17,246,773,1019,25.38614848,82.8,15.2,64,34.4,5.7,0.9,46,46,
"Bryan County, Georgia",0,13029,35885,7.2,8.4,15.6,9901,3.21,712,1672,2384,24.07837592,91.9,32.6,80.6,16.4,6.8,3,17.5,46,
"Bulloch County, Georgia",0,13031,74782,5.7,5,10.7,16727,2.95,1476,4287,5763,34.45327913,86.9,27.4,68.1,30.2,3.9,1.8,32.7,32,
"Burke County, Georgia",0,13033,22550,7.3,6.4,13.7,6035,3.17,384,1716,2100,34.7970174,79.2,12.6,48.9,49.1,3.1,0.6,40.1,74,
"Butts County, Georgia",0,13035,23750,5.7,5.3,11,5933,3,403,1450,1853,31.23209169,79.2,11.4,69.6,29.6,3.2,0.4,36.6,123,
"Calhoun County, Georgia",0,13037,6428,3.2,5,8.2,1187,3.02,87,458,545,45.91406908,74.3,9.4,35.1,61.7,4.7,0.5,38.4,84,
"Camden County, Georgia",0,13039,52714,7.4,6.9,14.3,14298,3.03,1065,2714,3779,26.43026997,91.8,24.5,76.2,20.5,6.6,2.9,19.9,29,
"Candler County, Georgia",0,13043,10827,5.8,8,13.8,2830,3.15,371,709,1080,38.16254417,76.6,14.1,70.4,24.5,11.6,2.3,51,8,
"Carroll County, Georgia",0,13045,116022,6.4,6.1,12.5,28747,3.23,2338,5309,7647,26.60103663,83.7,20.6,77.1,20.1,6.8,1.2,25.9,316,
