county,lockdown,countyfips,pop,pct_under5,pct_5to9,pct_under9,num_famlies,avg_fam_size,num_single_dad,num_single_mom,num_single_parent,pct_single_parent,pct_hs_plus,pct_college_plus,pct_foreign,pct_white,pct_black,pct_latin,pct_asian,kids_in_poverty,active_cases,pct_active,median_fam_income,mean_fam_income
"Adams County, Colorado",0,8001,497115,7.4,7.6,15,58021,3.54,5205,12732,17937,30.91466883,83,23.6,15.4,86.1,4.5,39.7,4.9,15.6,1331,0.002677449,76264,91223
"Alamosa County, Colorado",0,8003,16444,7,6.6,13.6,1655,3.29,160,227,387,23.3836858,86.5,26.1,8.5,89.9,2,45.9,1.8,22.5,8,0.0004865,50000,69265
"Arapahoe County, Colorado",0,8005,636671,6.4,6.8,13.2,73655,3.24,6227,14498,20725,28.1379404,92.4,42.2,15,75.5,12.6,19.1,7.4,11.7,2122,0.003332962,89953,119256
"Archuleta County, Colorado",0,8007,12908,4.5,4.9,9.4,988,2.74,34,161,195,19.73684211,92,38.9,6.1,84.6,2.2,18.4,1.4,17,8,0.000619771,61362,82366
"Baca County, Colorado",0,8009,3563,5.2,6.1,11.3,370,2.66,37,66,103,27.83783784,84.8,22.1,3.8,96.8,1.2,10.7,0,28.1,10,0.002806624,49327,62085
"Bent County, Colorado",0,8011,5809,3.6,4.1,7.7,541,2.77,58,118,176,32.5323475,85.8,12.4,4.7,92.8,4.2,32,0.8,29.5,0,0,42883,54053
"Boulder County, Colorado",0,8013,321030,4.7,5.6,10.3,33113,3.02,2662,5676,8338,25.18044273,95.1,60.8,10.8,91.6,1.5,13.8,6.1,10.1,482,0.001501417,108150,138683
"Broomfield County, Colorado",0,8015,66120,5.6,6.9,12.5,8318,3.04,442,922,1364,16.39817264,96.8,55.5,9.2,90.2,1.9,12.2,7.9,4.6,136,0.002056866,111341,139436
"Chaffee County, Colorado",0,8017,19164,3.3,3.8,7.1,1633,2.71,119,371,490,30.0061237,92.9,33.5,3.2,95.8,2.4,10.1,1.8,9.3,54,0.002817783,69624,82290
"Cheyenne County, Colorado",0,8019,2039,10.6,8.1,18.7,228,3.45,30,5,35,15.35087719,90.1,20,7.9,97.1,0.1,17,2.3,9,0,0,73229,82392
"Clear Creek County, Colorado",0,8021,9379,3.7,3.3,7,1002,2.49,169,123,292,29.14171657,98.3,46.5,3.3,97.4,1.7,6.6,1.3,4.8,12,0.001279454,90980,106238
"Conejos County, Colorado",0,8023,8142,7,7.2,14.2,828,3.43,99,157,256,30.9178744,86.6,20.2,2.5,91.5,0.8,53,0.2,27.7,0,0,47230,60981
"Costilla County, Colorado",0,8025,3687,3.8,5.1,8.9,305,2.83,28,103,131,42.95081967,78.5,19.1,9.8,93.7,0.5,62.6,2.1,42.2,3,0.00081367,34338,52746
"Crowley County, Colorado",0,8027,5630,3.1,3.7,6.8,318,4.6,44,63,107,33.64779874,84.8,9.6,4.7,91.9,4.5,31,1.7,31.7,1,0.00017762,53750,59907
"Custer County, Colorado",0,8029,4640,2.2,5.2,7.4,247,2.68,16,46,62,25.10121457,93,36.9,2.6,95,2.7,9.6,0.9,23.7,2,0.000431034,61446,73527
"Delta County, Colorado",0,8031,30346,5,5.1,10.1,2498,3.05,153,418,571,22.85828663,90.4,21.2,4.3,95.9,1.2,15.1,1.2,27.4,32,0.001054505,58243,75947
"Denver County, Colorado",0,8033,693417,6.3,6,12.3,66759,3.19,6119,15748,21867,32.75513414,87.1,47.9,15.6,79.4,10.7,30.3,4.9,19.9,2547,0.003673114,81452,117419
"Dolores County, Colorado",0,8035,1841,4.5,7.4,11.9,126,2.86,23,32,55,43.65079365,91.8,21.3,1,99.2,0.3,5.9,0,19.1,0,0,50792,62498
