county,reopen,countyfips,pop,pct_5to9,num_famlies,avg_fam_size,num_single_dad,num_single_mom,num_single_parent,pct_single_parent,pct_hs_plus,pct_college_plus,pct_foreign,pct_white,pct_black,pct_latin,pct_asian,pct_poverty_5to17,active_cases,pct_active,median_fam_income,mean_fam_income
"Adams County, Colorado",1,8001,497115,7.6,116273,3.54,10561,22208,32769,28.2,83,23.6,15.4,86.1,4.5,39.7,4.9,15.4,1290,0.259497299,76264,91223
"Alamosa County, Colorado",1,8003,16444,6.6,3474,3.29,309,464,773,22.3,86.5,26.1,8.5,89.9,2,45.9,1.8,19.2,8,0.048649964,50000,69265
"Arapahoe County, Colorado",1,8005,636671,6.8,157078,3.24,12877,26151,39028,24.8,92.4,42.2,15,75.5,12.6,19.1,7.4,11.1,2033,0.319317198,89953,119256
"Archuleta County, Colorado",1,8007,12908,4.9,3710,2.74,207,333,540,14.6,92,38.9,6.1,84.6,2.2,18.4,1.4,16.9,8,0.061977068,61362,82366
"Baca County, Colorado",1,8009,3563,6.1,1038,2.66,72,113,185,17.8,84.8,22.1,3.8,96.8,1.2,10.7,0,28.1,10,0.280662363,49327,62085
"Bent County, Colorado",1,8011,5809,4.1,1171,2.77,75,202,277,23.7,85.8,12.4,4.7,92.8,4.2,32,0.8,30.2,0,0,42883,54053
"Boulder County, Colorado",1,8013,321030,5.6,73589,3.02,4750,9802,14552,19.8,95.1,60.8,10.8,91.6,1.5,13.8,6.1,9.4,470,0.146403763,108150,138683
"Broomfield County, Colorado",1,8014,66120,6.9,17498,3.04,771,1777,2548,14.6,96.8,55.5,9.2,90.2,1.9,12.2,7.9,5.1,134,0.202661827,111341,139436
"Chaffee County, Colorado",1,8015,19164,3.8,5259,2.71,324,516,840,16.0,92.9,33.5,3.2,95.8,2.4,10.1,1.8,9.3,53,0.276560217,69624,82290
"Cheyenne County, Colorado",1,8017,2039,8.1,484,3.45,51,35,86,17.8,90.1,20,7.9,97.1,0.1,17,2.3,7,0,0,73229,82392
"Clear Creek County, Colorado",1,8019,9379,3.3,2869,2.49,243,375,618,21.5,98.3,46.5,3.3,97.4,1.7,6.6,1.3,3.8,12,0.12794541,90980,106238
"Conejos County, Colorado",1,8021,8142,7.2,1994,3.43,151,318,469,23.5,86.6,20.2,2.5,91.5,0.8,53,0.2,29.1,0,0,47230,60981
"Costilla County, Colorado",1,8023,3687,5.1,1019,2.83,85,239,324,31.8,78.5,19.1,9.8,93.7,0.5,62.6,2.1,37.8,3,0.081366965,34338,52746
"Crowley County, Colorado",1,8025,5630,3.7,805,4.6,72,158,230,28.6,84.8,9.6,4.7,91.9,4.5,31,1.7,33,1,0.017761989,53750,59907
"Custer County, Colorado",1,8027,4640,5.2,1416,2.68,46,65,111,7.8,93,36.9,2.6,95,2.7,9.6,0.9,17.5,2,0.043103448,61446,73527
"Delta County, Colorado",1,8029,30346,5.1,7805,3.05,638,800,1438,18.4,90.4,21.2,4.3,95.9,1.2,15.1,1.2,25.2,26,0.085678508,58243,75947
"Denver County, Colorado",1,8031,693417,6,143098,3.19,13259,28525,41784,29.2,87.1,47.9,15.6,79.4,10.7,30.3,4.9,20.7,2451,0.353466961,81452,117419
"Dolores County, Colorado",1,8033,1841,7.4,513,2.86,31,81,112,21.8,91.8,21.3,1,99.2,0.3,5.9,0,15,0,0,50792,62498
"Douglas County, Colorado",1,8035,328614,7.6,91322,3.18,4425,8044,12469,13.7,98,57.9,7.3,92,2,8.5,6.1,3.7,420,0.127809527,129717,157187
"Eagle County, Colorado",1,8037,54357,7,12035,3.29,739,1052,1791,14.9,89.3,48.1,18.3,90.4,1.5,29.7,1.7,8.6,526,0.967676656,94003,122721
"Elbert County, Colorado",1,8039,25162,6.2,7123,3.1,428,574,1002,14.1,96.7,35.9,2.6,96.5,1.8,6.7,1.7,5.3,0,0,109439,131926
"El Paso County, Colorado",1,8041,688153,6.7,173199,3.17,11903,26444,38347,22.1,93.7,37.9,6.9,84.8,8.6,16.8,4.6,14.2,795,0.115526634,78239,98037
"Fremont County, Colorado",1,8043,47002,4.7,11451,2.55,975,1687,2662,23.2,90.3,18.2,2.9,91.9,5,13.2,1.3,22,22,0.046806519,58259,73421
"Garfield County, Colorado",1,8045,58538,8.5,15165,3.18,788,1938,2726,18.0,87.8,30,14.9,89.1,1.1,28.2,1.1,9.1,85,0.145204824,84486,97801
"Gilpin County, Colorado",1,8047,5924,4.3,1602,2.68,99,90,189,11.8,97.6,38.7,2.9,95.7,0.7,9.3,0,3.1,1,0.016880486,90424,123003
"Grand County, Colorado",1,8049,15066,4.3,3610,2.99,230,477,707,19.6,95.5,37.8,8,95.7,1.6,8.4,1.1,15.1,5,0.033187309,75399,91613
"Gunnison County, Colorado",1,8051,16537,5,3602,2.86,320,472,792,22.0,97.2,55.3,4.4,97.2,1.5,9.3,1.5,4.1,154,0.931245087,77091,90254
"Hinsdale County, Colorado",1,8053,878,2.1,271,2.67,11,15,26,9.6,93.8,43.9,1.4,96.1,0.5,5.8,1.4,6.9,3,0.341685649,64196,91967
"Huerfano County, Colorado",1,8055,6583,5.7,1868,2.54,94,291,385,20.6,91.5,21.4,2.8,95.8,0.6,34.5,1,20.5,2,0.030381285,52097,60777
"Jackson County, Colorado",1,8057,1296,4.1,367,2.8,20,15,35,9.5,87.6,16.8,6.4,93.8,0,19.6,0,44.5,0,0,54922,65147
"Jefferson County, Colorado",1,8059,570427,5.6,147643,2.98,9812,20123,29935,20.3,94.4,44.1,6.6,93.3,1.8,15.3,3.8,8.3,1204,0.211069953,99247,121774
"Kiowa County, Colorado",1,8061,1449,5.1,367,3.14,9,67,76,20.7,95.9,21.5,0.5,98.5,4.2,5.4,0,13.8,0,0,47417,70268
"Kit Carson County, Colorado",1,8063,7635,7.3,2078,2.79,182,221,403,19.4,88.5,18.9,7.8,91.2,2.8,19.2,0.4,17.2,18,0.235756385,61149,84775
"Lake County, Colorado",1,8065,7585,5.7,2013,2.67,258,228,486,24.1,85.5,34,8.6,87.8,0.8,30.9,2.3,20.7,17,0.224126566,59688,70119
"La Plata County, Colorado",1,8067,55101,5.4,12918,3.05,623,1342,1965,15.2,95,43.9,2.8,90.3,0.8,12.8,1,9.7,59,0.107076097,85418,111955
"Larimer County, Colorado",1,8069,338161,5.5,82842,2.94,5781,9733,15514,18.7,95.8,46.3,5.5,94.3,1.8,11.3,3.4,10.7,294,0.086940836,87250,107898
"Las Animas County, Colorado",1,8071,14179,5.2,3903,2.56,220,629,849,21.8,87.8,19.7,5.5,89.9,1.7,42.1,1.2,20.7,3,0.021158051,54702,68103
"Lincoln County, Colorado",1,8073,5548,6.5,979,2.98,37,169,206,21.0,90.3,12.8,4.8,87.9,10.1,21.7,0.7,16.6,4,0.072098053,69141,77350
"Logan County, Colorado",1,8075,21689,4.4,4948,3.25,283,744,1027,20.8,89.5,20.5,4.2,96.8,4.1,15.9,1.1,11,247,1.138826133,62146,74429
"Mesa County, Colorado",1,8077,149998,6.3,38356,2.95,2813,6779,9592,25.0,90.1,27.4,3.9,96,1.3,14.4,1.3,20,38,0.025333671,67375,80606
"Mineral County, Colorado",1,8079,823,4.6,269,2.31,4,22,26,9.7,96.8,39.9,1,88.8,2.2,9.6,1.7,7.6,2,0.243013366,64659,80729
"Moffat County, Colorado",1,8081,13060,7,3478,3.03,208,637,845,24.3,90.9,17.1,7.4,96.3,1.7,15.2,0.9,12.6,6,0.045941807,69484,82091
"Montezuma County, Colorado",1,8083,25909,6.4,6861,2.98,445,1016,1461,21.3,89.5,28.6,2.3,83.2,0.7,12.4,0.3,24.9,13,0.050175615,57300,67889
"Montrose County, Colorado",1,8085,41268,6,11656,2.88,784,1565,2349,20.2,88.8,23.9,6.7,95.9,0.8,20.5,1.4,19.9,81,0.196277988,59385,70794
"Morgan County, Colorado",1,8087,28257,7.7,7555,3.06,714,1294,2008,26.6,80.1,17.6,13.6,91.7,3.6,35.9,0.9,11.4,246,0.870580741,59466,70551
"Otero County, Colorado",1,8089,18325,6.7,4879,2.95,363,1112,1475,30.2,85.4,17.7,5.7,91.4,1.9,41.7,1.2,29,7,0.038199181,45641,57546
"Ouray County, Colorado",1,8091,4722,3,1348,2.58,83,119,202,15.0,98.4,48.6,2,98.3,0.8,4.3,0.4,7.1,4,0.084709869,74327,87907
"Park County, Colorado",1,8093,17392,4.4,4589,2.98,120,248,368,8.0,97,30.2,3,96.3,0.4,6,1.7,5.3,7,0.04024839,77604,97533
"Phillips County, Colorado",1,8095,4318,7.3,1084,3.25,58,105,163,15.0,88.2,25.5,13.1,98.2,0.3,21.9,0.5,3.1,5,0.115794349,64741,80681
"Pitkin County, Colorado",1,8097,17909,4.6,3439,3.13,191,613,804,23.4,96.3,63.1,11.6,92.5,1.9,9.9,1.9,4,58,0.323859512,101793,173239
"Prowers County, Colorado",1,8099,12052,6.6,3233,2.91,341,606,947,29.3,82.1,17.4,10.4,95.9,1.6,37.6,0.6,22.9,1,0.008297378,48628,61574
"Pueblo County, Colorado",1,8101,164685,6.1,40874,3.12,3758,8959,12717,31.1,89.4,22,3.5,83.1,3.1,42.9,1.7,25.3,122,0.074080821,56842,71985
"Rio Blanco County, Colorado",1,8103,6465,9,1582,3.2,76,156,232,14.7,92.8,20.2,2.8,98,2.9,10.1,0.4,20.8,1,0.015467904,74868,82638
"Rio Grande County, Colorado",1,8105,11351,6.5,2789,3.19,95,471,566,20.3,84.3,23.7,4.8,93.1,1.6,44.5,0.2,21.9,7,0.061668575,53955,66094
"Routt County, Colorado",1,8107,24874,5.5,5894,2.96,254,496,750,12.7,96.8,50.4,5.9,95.8,1,7,1.5,11.2,50,0.201013106,88969,116709
"Saguache County, Colorado",1,8109,6468,6.7,1584,3.24,68,270,338,21.3,80.4,22.9,10.8,94.6,1.8,36.6,0.2,23,3,0.046382189,47875,59451
"San Juan County, Colorado",1,8111,544,1.7,119,2.83,4,7,11,9.2,92.9,34.5,3.3,98.7,0,8.8,0,0,1,0.183823529,61719,79581
"San Miguel County, Colorado",1,8113,7968,5.4,1897,2.81,129,242,371,19.6,95,56.7,8.8,97.2,0.5,10.3,2.1,9,19,0.238453815,83984,132507
"Sedgwick County, Colorado",1,8115,2350,5.9,592,2.98,25,86,111,18.8,90.1,20.8,3,94.5,1.7,13.6,2.3,16.9,104,4.425531915,61667,71716
"Summit County, Colorado",1,8117,30429,4.2,5397,3.28,92,645,737,13.7,93.3,51,11.1,92.3,1.8,14.3,1,10.6,25,0.082158467,91887,108185
"Teller County, Colorado",1,8119,24113,5,7070,2.78,479,761,1240,17.5,95.8,34,3.4,96.9,1.1,6.4,1.4,7.8,170,0.705013893,76439,91297
