county,countyfips,zearn,lockdown,pct_hs_grad,median_fam_income,mean_fam_income,pop,pct_elem_age,raw_cases,raw_deaths,pct_infected,pct_dead
Bexar,48029,1,0,88.9,66925,87965,1986049,6.6,1629,48,0.082022145,0.002416859
Dallas,48113,1,0,84.2,67315,100261,2637772,7.2,4746,123,0.179924573,0.004663026
Denton,48121,1,0,94.6,106492,132642,859064,6.9,810,22,0.094288668,0.002560927
Ellis,48139,1,0,92.5,86883,109137,179436,8,175,9,0.097527809,0.005015716
Fort Bend,48157,1,0,94.1,103717,132948,787858,7.5,1215,30,0.154215607,0.003807793
Galveston,48167,1,0,91.8,90748,116200,337890,6.4,631,28,0.186747166,0.008286721
Harris,48201,1,0,87.3,68340,98858,4698619,7.1,150,7094,0.003192427,0.150980533
Harrison,48203,1,0,87.4,66090,82290,66726,7.6,6,154,0.008991997,0.230794593
Johnson,48251,1,0,94.5,70694,89924,171361,8,91,4,0.053104265,0.002334253
Midland,48329,1,0,88.9,94833,128429,172578,7.8,83,8,0.048094195,0.004635585
Parker,48367,1,0,96,88774,115017,138371,6.7,41,0,0.029630486,0
Tarrant,48439,1,0,91.1,77093,104844,2084931,7.3,2603,83,0.124848256,0.003980947
Travis,48453,1,0,89.5,98859,134945,1248743,5.9,1889,57,0.151272119,0.00456459
Webb,48479,1,0,93.7,51721,68662,275910,8.2,383,17,0.138813381,0.006161429
Wichita,48485,1,0,96.2,63040,77079,132064,5.8,68,2,0.051490187,0.001514417
Williamson,48491,1,0,95.4,99470,114647,566719,7.2,329,12,0.058053462,0.002117452
Alameda,6001,1,1,86.8,123476,155314,1666753,5.5,1797,66,0.107814415,0.003959795
Butte,6007,1,1,84.5,65419,84745,231256,5.4,18,0,0.007783582,0
Contra Costa,6013,1,1,87.9,113973,153649,1150215,5.9,956,29,0.083114896,0.002521268
El Dorado,6017,1,1,89.4,100420,127499,190678,4.8,54,0,0.028319995,0
Fresno,6019,1,1,81.5,60114,81012,994400,7.8,768,9,0.077232502,0.000905068
Humboldt,6023,1,1,83.8,62151,77202,136373,6.2,55,0,0.040330564,0
Imperial,6025,1,1,85.2,53797,66207,181827,6.5,409,10,0.22493909,0.005499733
Kern,6029,1,1,85.8,57105,78080,896764,7.4,1062,11,0.118425807,0.001226633
Lake,6033,1,1,78.1,64197,90875,64382,6,8,0,0.012425833,0
Los Angeles,6037,1,1,81.6,76551,109652,10105518,5.7,27296,1369,0.270109855,0.013547054
Madera,6039,1,1,83.2,60189,73203,157672,7.6,53,2,0.033614085,0.001268456
Marin,6041,1,1,87.1,155890,212730,259666,4.9,233,14,0.089730654,0.005391541
Mendocino,6045,1,1,83.5,63009,78467,87606,6.5,12,0,0.013697692,0
Merced,6047,1,1,88.5,63472,85395,274765,7.8,149,3,0.054228159,0.001091842
Monterey,6053,1,1,84.7,77394,108855,435594,7.2,6,235,0.001377429,0.05394932
Napa,6055,1,1,87,97069,126066,139417,4.7,2,76,0.001434545,0.054512721
Nevada,6057,1,1,50,85930,106225,99696,4.5,1,40,0.001003049,0.040121971
Orange,6059,1,1,89.2,102047,135550,3185968,5.5,65,2939,0.002040196,0.092248259
Placer,6061,1,1,90.5,102462,128966,393149,6.4,8,155,0.002034852,0.039425256
Plumas,6063,1,1,80.7,76938,100651,18804,4.5,0,4,0,0.02127207
Riverside,6065,1,1,88.9,81058,100958,2450758,6.9,186,4486,0.007589489,0.183045409
San Bernardino,6071,1,1,83.4,70981,89049,2171603,7.2,104,2328,0.004789089,0.107201915
San Diego,6073,1,1,81.1,90981,119407,3343364,5.7,158,4161,0.004725779,0.124455489
San Francisco,6075,1,1,71.4,131253,198515,883305,3.4,31,1723,0.003509547,0.195062861
San Joaquin,6077,1,1,81.7,70745,91569,752660,7.6,27,552,0.003587277,0.073339888
San Luis Obispo,6079,1,1,91.5,93540,112737,284010,4.4,1,207,0.0003521,0.072884758
San Mateo,6081,1,1,87.7,144622,198920,769545,5.7,56,1285,0.007277027,0.166981788
Santa Barbara,6083,1,1,87.4,86170,119581,446527,6,9,604,0.002015556,0.135266177
Santa Clara,6085,1,1,85.2,144690,191428,1937570,5.7,126,2142,0.006502991,0.110550845
Santa Cruz,6087,1,1,81.7,107017,139096,274255,5.4,2,136,0.000729248,0.049588886
Shasta,6089,1,1,86.9,66468,82871,180040,6.6,4,27,0.002221729,0.014996667
Solano,6095,1,1,81.4,94974,112970,446610,6,7,330,0.001567363,0.073889971
Sonoma,6097,1,1,80.9,98849,125807,499942,5.5,3,269,0.00060007,0.053806242
Stanislaus,6099,1,1,83.9,65936,85015,549815,7.3,17,444,0.003091949,0.080754436
Sutter,6101,1,1,83.2,65511,90273,96807,7.6,2,29,0.002065966,0.029956511
Tulare,6107,1,1,86.1,55369,80237,465861,8.8,41,875,0.008800908,0.187824265
Ventura,6111,1,1,86.1,94483,122234,850967,6.4,19,589,0.002232754,0.069215375
Yolo,6113,1,1,86.9,84770,112062,220408,5.7,20,152,0.009074081,0.068963014
Yuba,6115,1,1,75,61931,73608,78041,6.8,1,18,0.001281378,0.023064799
