county,lockdown,countyfips,pop,pct_under5,pct_5to9,pct_under9,num_famlies,avg_fam_size,num_single_dad,num_single_mom,num_single_parent,pct_single_parent,pct_hs_plus,pct_domestic,pct_white,pct_black,pct_latin,pct_asian,kids_in_poverty,active_cases,pct_active
"Barrow County, Georgia",0,13013,80809,6.4,7.3,13.7,9885,3.35,395,2158,2553,25.82701062,85.7,90,80.4,13.7,11.5,3.9,13.2,247,0.305659023
"Bartow County, Georgia",0,13015,106408,6.7,5.6,12.3,25602,3.4,1942,9125,11067,43.22709163,91,92.4,55.5,41.1,6.6,2.6,11.2,342,0.321404406
"Bibb County, Georgia",0,13021,153095,6.5,6.7,13.2,12638,3.31,1953,1907,3860,30.54280741,84.4,96.1,75.6,20.6,7.2,0.3,38.1,364,0.237760867
"Bulloch County, Georgia",0,13031,77296,5.5,4.2,9.7,20306,3.04,1243,4941,6184,30.45405299,78.7,82.8,88.4,8.3,29,1.7,19.5,43,0.055630304
"Carroll County, Georgia",0,13045,118121,5.4,7,12.4,26799,3.22,2257,6947,9204,34.3445651,93.1,90.2,48.1,48.1,7.2,3.4,21.4,378,0.320010836
"Catoosa County, Georgia",0,13047,67420,4.8,4.9,9.7,8006,3.17,282,3191,3473,43.37996503,84.7,93.2,70.4,28,6.8,-1,12.8,62,0.091960842
"Chatham County, Georgia",0,13051,289195,6.2,5.9,12.1,7434,3.35,705,2838,3543,47.65940274,85.4,96.2,59.1,37.7,3.7,2.3,16.7,323,0.111689345
"Cherokee County, Georgia",0,13057,254149,5.8,6.5,12.3,19837,3.18,692,4496,5188,26.15314816,91,92.7,78.8,21,6.7,-1,10.1,634,0.249459962
"Clarke County, Georgia",0,13059,127330,5.1,4.6,9.7,68963,2.92,4834,23723,28557,41.40916143,90,81,37.2,54.8,8.6,6.3,31.9,177,0.139008875
"Clayton County, Georgia",0,13063,289615,7.6,8.9,16.5,6607,3.64,647,1631,2278,34.47858332,85.7,99,95.1,6.6,2.3,-1,24.3,920,0.317663104
"Cobb County, Georgia",0,13067,756865,6.2,6.3,12.5,17466,3.15,743,3709,4452,25.4895225,89.9,91,61,33.8,6.7,3.6,13,2153,0.284462883
"Columbia County, Georgia",0,13073,154291,6.2,6.7,12.9,15188,3.93,759,3501,4260,28.04845931,87.1,93,78.2,18.4,7.1,2.2,12.1,185,0.1199033
"Coweta County, Georgia",0,13077,145864,5,6,11,10658,3.27,818,3756,4574,42.91611935,88.1,90.4,66,29.2,10.9,3.9,15.5,276,0.189217353
"DeKalb County, Georgia",0,13089,756558,7,6.7,13.7,85024,3.41,3838,18725,22563,26.53721302,93.3,83.6,60.4,29.7,13.2,5.7,22.7,2559,0.338242408
"Dougherty County, Georgia",0,13095,91243,6.4,7.1,13.5,8422,3.3,957,2922,3879,46.05794348,90.1,89,38.4,59.3,10.4,1.8,43.7,1514,1.659305371
"Douglas County, Georgia",0,13097,145331,6.1,6.5,12.6,35682,3.42,1391,2903,4294,12.03407881,94,80.4,79.6,4.8,9.7,14.4,23.8,408,0.280738452
"Fayette County, Georgia",0,13113,113459,4.2,5.4,9.6,13865,3.32,1582,6047,7629,55.02344032,85.3,96.4,42.2,55.9,3.4,2.1,3.1,190,0.167461374
"Floyd County, Georgia",0,13115,97927,6.5,5.3,11.8,11220,3.17,921,3861,4782,42.62032086,88.5,94.1,50.4,47.6,5.9,1.3,41.1,154,0.15726
"Forsyth County, Georgia",0,13117,236612,6,7.7,13.7,27781,3.24,3266,12724,15990,57.55732335,86.1,86.3,17.5,73,13.3,5.1,5.5,382,0.161445742
"Fulton County, Georgia",0,13121,1050114,5.9,6.2,12.1,12101,3.27,695,863,1558,12.87496901,95.5,89.4,68.4,25,7.4,4.7,18.3,3462,0.329678492
"Glynn County, Georgia",0,13127,85219,5.5,7,12.5,9351,2.87,1356,3522,4878,52.16554379,81.4,91.8,82.5,15.7,11.3,1.8,27,74,0.086835095
"Gwinnett County, Georgia",0,13135,927781,6.6,7,13.6,103971,3.63,7697,29393,37090,35.67340893,93.6,85.3,46.4,44.8,7.3,7.5,11.7,2409,0.259651793
"Hall County, Georgia",0,13139,202148,6.5,6.8,13.3,12313,3.65,546,2436,2982,24.21830586,70.9,82.7,91.3,5.5,35.9,-1,22.7,2075,1.026475652
"Henry County, Georgia",0,13151,230220,5.7,7.5,13.2,10950,3.45,1714,1631,3345,30.54794521,88,93.5,77.8,19.1,4.7,1.4,7.7,599,0.260185909
"Houston County, Georgia",0,13153,155469,6.1,6.8,12.9,7521,3.22,1450,2376,3826,50.87089483,86.1,96.6,69.9,30.2,4.1,1.4,14.4,274,0.176240923
"Jackson County, Georgia",0,13157,70422,6.1,6.7,12.8,8238,3.27,537,1221,1758,21.3401311,87.3,94.7,89,8.4,8.1,1.5,6.1,123,0.174661327
"Lowndes County, Georgia",0,13185,116321,7.1,7.4,14.5,15616,3.63,760,2911,3671,23.50794057,93,89.3,76.8,19.4,6.9,4.6,37.7,192,0.165060479
"Muscogee County, Georgia",0,13215,194160,6.8,7.2,14,7362,3.42,1766,1698,3464,47.0524314,82.7,97.1,63.5,35.2,4.7,1.1,28,383,0.197259992
"Newton County, Georgia",0,13217,109541,6.4,7.3,13.7,11811,3.37,757,2131,2888,24.45178224,85.3,93.6,86.5,12.4,8.8,1.3,19.9,254,0.231876649
"Paulding County, Georgia",0,13223,164044,6.7,6.4,13.1,30034,3.45,2332,5206,7538,25.09822202,92.8,90.5,87.9,7.7,10.8,1.9,11.9,224,0.136548731
"Richmond County, Georgia",0,13245,201554,6.5,6,12.5,9922,3.76,241,4023,4264,42.97520661,85.8,95.3,59.1,38.1,5.9,1.6,33,454,0.225249809
"Rockdale County, Georgia",0,13247,90594,5.4,7.9,13.3,111361,3.36,4902,24888,29790,26.75083737,86.8,71.8,49,29.8,21.5,12,20.1,241,0.266022032
"Spalding County, Georgia",0,13255,66100,5.8,7.1,12.9,9284,3.06,1051,5648,6699,72.1563981,79.3,97.6,27.5,71.8,2.9,0.4,17,224,0.338880484
"Troup County, Georgia",0,13285,70034,6.3,4.8,11.1,15397,3.23,700,8084,8784,57.05007469,84.4,94.1,39.3,58.7,5,2.2,28.1,187,0.267013165
"Walker County, Georgia",0,13295,69410,5.8,6.6,12.4,5293,3.02,337,287,624,11.78915549,88.6,97.4,93.2,5.4,0.6,1.3,19.3,73,0.105172165
